C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-04 21:29:29.009073: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-04 21:29:29.009343: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-04 21:29:41.021900: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-04 21:29:41.026418: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-04 21:29:41.026766: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-04 21:29:41.041693: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-04 21:29:41.042461: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-04 21:29:41.043500: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-04 21:29:41.044641: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 2200 : 389, epsilon: 0.4991692893291036, 보상 합:278
에피소드 2300 : 884, epsilon: 0.47481857856845094, 보상 합:724
에피소드 2400 : 538, epsilon: 0.45165575561905763, 보상 합:414
에피소드 2500 : 999, epsilon: 0.4296228723796952, 보상 합:820
에피소드 2600 : 507, epsilon: 0.40866480760063095, 보상 합:375
에피소드 2700 : 999, epsilon: 0.38872912898283096, 보상 합:829
에피소드 2800 : 390, epsilon: 0.3697659620043022, 보상 합:302
에피소드 2900 : 527, epsilon: 0.351727865145413, 보상 합:415
에피소드 3000 : 578, epsilon: 0.33456971120102863, 보상 합:456
에피소드 3100 : 999, epsilon: 0.3182485743825335, 보상 합:864
에피소드 3200 : 999, epsilon: 0.3027236229272975, 보상 합:847
에피소드 3300 : 228, epsilon: 0.2879560169469154, 보상 합:152
에피소드 3400 : 387, epsilon: 0.27390881125866456, 보상 합:307
에피소드 3500 : 543, epsilon: 0.26054686295708057, 보상 합:447
에피소드 3600 : 430, epsilon: 0.24783674349442225, 보상 합:332
에피소드 3700 : 145, epsilon: 0.23574665505006714, 보상 합:85
에피소드 3800 : 999, epsilon: 0.22424635097961643, 보상 합:904
에피소드 3900 : 721, epsilon: 0.2133070601446863, 보상 합:631
에피소드 4000 : 554, epsilon: 0.20290141493408156, 보상 합:467
에피소드 4100 : 999, epsilon: 0.19300338279627216, 보상 합:966
에피소드 4200 : 650, epsilon: 0.18358820111188587, 보상 합:577
에피소드 4300 : 481, epsilon: 0.17463231524328113, 보상 합:381
에피소드 4400 : 999, epsilon: 0.16611331960621462, 보상 합:937
에피소드 4500 : 999, epsilon: 0.1580099016161789, 보상 합:902
에피소드 4600 : 944, epsilon: 0.15030178836917577, 보상 합:833
에피소드 4700 : 999, epsilon: 0.1429696959235333, 보상 합:893
에피소드 4800 : 128, epsilon: 0.135995281055881, 보상 합:74
에피소드 4900 : 577, epsilon: 0.1293610953705872, 보상 합:500
에피소드 5000 : 178, epsilon: 0.123050541647853, 보상 합:91
에피소드 5100 : 999, epsilon: 0.11704783232125221, 보상 합:941
에피소드 5200 : 825, epsilon: 0.1113379499808404, 보상 합:754
에피소드 5300 : 689, epsilon: 0.10590660980301952, 보상 합:616
에피소드 5400 : 999, epsilon: 0.10074022381316684, 보상 합:968
에피소드 5500 : 285, epsilon: 0.09582586689162056, 보상 합:217
에피소드 5600 : 164, epsilon: 0.09115124443797802, 보상 합:106
에피소드 5700 : 999, epsilon: 0.08670466161280879, 보상 합:981
에피소드 5800 : 999, epsilon: 0.08247499407983327, 보상 합:940
에피소드 5900 : 999, epsilon: 0.07845166017537016, 보상 합:947
에피소드 6000 : 637, epsilon: 0.0746245944354265, 보상 합:580
에피소드 6100 : 735, epsilon: 0.07098422241420221, 보상 합:659
에피소드 6200 : 844, epsilon: 0.06752143673100997, 보상 합:780
에피소드 6300 : 999, epsilon: 0.06422757428568535, 보상 합:961
에피소드 6400 : 165, epsilon: 0.061094394585485615, 보상 합:105
에피소드 6500 : 189, epsilon: 0.05811405912925629, 보상 합:92
에피소드 6600 : 520, epsilon: 0.05527911179728818, 보상 합:437
에피소드 6700 : 999, epsilon: 0.052582460197806366, 보상 합:951
에피소드 6800 : 201, epsilon: 0.05001735792342319, 보상 합:152
에피소드 6900 : 999, epsilon: 0.04757738767316547, 보상 합:956
에피소드 7000 : 550, epsilon: 0.04525644519785055, 보상 합:505
에피소드 7100 : 999, epsilon: 0.04304872402864694, 보상 합:990
에피소드 7200 : 925, epsilon: 0.04094870095061335, 보상 합:877
에피소드 7300 : 191, epsilon: 0.038951122184874364, 보상 합:108
에피소드 7400 : 999, epsilon: 0.03705099024486357, 보상 합:961
에피소드 7500 : 999, epsilon: 0.03524355143375197, 보상 합:1000
에피소드 7600 : 999, epsilon: 0.033524283951782224, 보상 합:940
에피소드 7700 : 999, epsilon: 0.03188888658375702, 보상 합:986
에피소드 7800 : 565, epsilon: 0.030333267938379253, 보상 합:514
에피소드 7900 : 999, epsilon: 0.03, 보상 합:960
에피소드 8000 : 999, epsilon: 0.03, 보상 합:982
에피소드 8100 : 172, epsilon: 0.03, 보상 합:107
에피소드 8200 : 999, epsilon: 0.03, 보상 합:961
에피소드 8300 : 999, epsilon: 0.03, 보상 합:980
에피소드 8400 : 764, epsilon: 0.03, 보상 합:700
에피소드 8500 : 999, epsilon: 0.03, 보상 합:986
에피소드 8600 : 999, epsilon: 0.03, 보상 합:985
에피소드 8700 : 999, epsilon: 0.03, 보상 합:990
에피소드 8800 : 875, epsilon: 0.03, 보상 합:820
에피소드 8900 : 450, epsilon: 0.03, 보상 합:374
에피소드 9000 : 999, epsilon: 0.03, 보상 합:979
에피소드 9100 : 999, epsilon: 0.03, 보상 합:971
에피소드 9200 : 739, epsilon: 0.03, 보상 합:693
에피소드 9300 : 574, epsilon: 0.03, 보상 합:512
에피소드 9400 : 999, epsilon: 0.03, 보상 합:978
에피소드 9500 : 999, epsilon: 0.03, 보상 합:957
에피소드 9600 : 999, epsilon: 0.03, 보상 합:985
에피소드 9700 : 999, epsilon: 0.03, 보상 합:977
에피소드 9800 : 263, epsilon: 0.03, 보상 합:203
에피소드 9900 : 999, epsilon: 0.03, 보상 합:997

Process finished with exit code 0
