C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-05 20:55:06.214278: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-05 20:55:06.215274: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-05 20:55:25.105431: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-05 20:55:25.113283: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-05 20:55:25.114112: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-05 20:55:25.139850: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-05 20:55:25.140382: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-05 20:55:25.144495: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-05 20:55:25.147231: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 4400 : 696, epsilon: 0.16611331960621462, 보상 합:620
에피소드 4500 : 999, epsilon: 0.1580099016161789, 보상 합:944
에피소드 4600 : 632, epsilon: 0.15030178836917577, 보상 합:553
에피소드 4700 : 999, epsilon: 0.1429696959235333, 보상 합:925
에피소드 4800 : 616, epsilon: 0.135995281055881, 보상 합:521
에피소드 4900 : 999, epsilon: 0.1293610953705872, 보상 합:932
에피소드 5000 : 291, epsilon: 0.123050541647853, 보상 합:234
에피소드 5100 : 999, epsilon: 0.11704783232125221, 보상 합:928
에피소드 5200 : 999, epsilon: 0.1113379499808404, 보상 합:942
에피소드 5300 : 938, epsilon: 0.10590660980301952, 보상 합:845
에피소드 5400 : 550, epsilon: 0.10074022381316684, 보상 합:489
에피소드 5500 : 254, epsilon: 0.09582586689162056, 보상 합:192
에피소드 5600 : 999, epsilon: 0.09115124443797802, 보상 합:939
에피소드 5700 : 649, epsilon: 0.08670466161280879, 보상 합:591
에피소드 5800 : 481, epsilon: 0.08247499407983327, 보상 합:421
에피소드 5900 : 999, epsilon: 0.07845166017537016, 보상 합:959
에피소드 6000 : 801, epsilon: 0.0746245944354265, 보상 합:759
에피소드 6100 : 999, epsilon: 0.07098422241420221, 보상 합:958
에피소드 6200 : 912, epsilon: 0.06752143673100997, 보상 합:834
에피소드 6300 : 999, epsilon: 0.06422757428568535, 보상 합:965
에피소드 6400 : 999, epsilon: 0.061094394585485615, 보상 합:975
에피소드 6500 : 999, epsilon: 0.05811405912925629, 보상 합:962
에피소드 6600 : 999, epsilon: 0.05527911179728818, 보상 합:964
에피소드 6700 : 999, epsilon: 0.052582460197806366, 보상 합:965
에피소드 6800 : 994, epsilon: 0.05001735792342319, 보상 합:923
에피소드 6900 : 999, epsilon: 0.04757738767316547, 보상 합:988
에피소드 7000 : 999, epsilon: 0.04525644519785055, 보상 합:1012
에피소드 7100 : 428, epsilon: 0.04304872402864694, 보상 합:305
에피소드 7200 : 999, epsilon: 0.04094870095061335, 보상 합:985
에피소드 7300 : 999, epsilon: 0.038951122184874364, 보상 합:981
에피소드 7400 : 636, epsilon: 0.03705099024486357, 보상 합:579
에피소드 7500 : 999, epsilon: 0.03524355143375197, 보상 합:990
에피소드 7600 : 999, epsilon: 0.033524283951782224, 보상 합:987
에피소드 7700 : 999, epsilon: 0.03188888658375702, 보상 합:978
에피소드 7800 : 999, epsilon: 0.030333267938379253, 보상 합:986
에피소드 7900 : 999, epsilon: 0.03, 보상 합:997
에피소드 8000 : 999, epsilon: 0.03, 보상 합:1022
에피소드 8100 : 790, epsilon: 0.03, 보상 합:728
에피소드 8200 : 999, epsilon: 0.03, 보상 합:982
에피소드 8300 : 999, epsilon: 0.03, 보상 합:980
에피소드 8400 : 999, epsilon: 0.03, 보상 합:974
에피소드 8500 : 999, epsilon: 0.03, 보상 합:979
에피소드 8600 : 999, epsilon: 0.03, 보상 합:1004
에피소드 8700 : 608, epsilon: 0.03, 보상 합:575
에피소드 8800 : 966, epsilon: 0.03, 보상 합:893
에피소드 8900 : 999, epsilon: 0.03, 보상 합:1026
에피소드 9000 : 999, epsilon: 0.03, 보상 합:976
에피소드 9100 : 999, epsilon: 0.03, 보상 합:966
에피소드 9200 : 999, epsilon: 0.03, 보상 합:979
에피소드 9300 : 999, epsilon: 0.03, 보상 합:975
에피소드 9400 : 999, epsilon: 0.03, 보상 합:965
에피소드 9500 : 999, epsilon: 0.03, 보상 합:979
에피소드 9600 : 999, epsilon: 0.03, 보상 합:969
에피소드 9700 : 999, epsilon: 0.03, 보상 합:1002
에피소드 9800 : 168, epsilon: 0.03, 보상 합:111
에피소드 9900 : 999, epsilon: 0.03, 보상 합:1001

Process finished with exit code 0
